yyyy-mm-ddTHH:MM:SSZ, BB_20-24000 
2018-08-15T22:38:00.000Z, 59.050805
2018-08-15T22:58:00.000Z, 59.214264
2018-08-15T23:18:00.000Z, 110.291325
2018-08-15T23:38:00.000Z, 115.906833
2018-08-15T23:58:00.000Z, 115.159704
2018-08-16T00:18:00.000Z, 115.142007
2018-08-16T00:38:00.000Z, 114.696050
2018-08-16T00:58:00.000Z, 111.749783
2018-08-16T01:18:00.000Z, 112.111684
2018-08-16T01:38:00.000Z, 112.069082
2018-08-16T01:58:00.000Z, 114.497703
2018-08-16T02:18:00.000Z, 115.379683
2018-08-16T02:38:00.000Z, 111.424962
2018-08-16T02:58:00.000Z, 95.474160
2018-08-16T03:18:00.000Z, 94.530438
2018-08-16T03:38:00.000Z, 94.740756
2018-08-16T03:58:00.000Z, 96.210363
2018-08-16T04:18:00.000Z, 96.672709
2018-08-16T04:38:00.000Z, 95.833813
2018-08-16T04:58:00.000Z, 95.647949
2018-08-16T05:18:00.000Z, 95.000668
2018-08-16T05:38:00.000Z, 95.226359
2018-08-16T05:58:00.000Z, 95.187908
2018-08-16T06:18:00.000Z, 95.378974
2018-08-16T06:38:00.000Z, 96.077837
2018-08-16T06:58:00.000Z, 96.592779
2018-08-16T07:18:00.000Z, 97.941842
2018-08-16T07:38:00.000Z, 102.343215
2018-08-16T07:58:00.000Z, 99.560589
2018-08-16T08:18:00.000Z, 99.680145
2018-08-16T08:38:00.000Z, 101.227104
2018-08-16T08:58:00.000Z, 100.891818
2018-08-16T09:18:00.000Z, 98.874593
2018-08-16T09:38:00.000Z, 96.693704
2018-08-16T09:58:00.000Z, 98.155972
2018-08-16T10:18:00.000Z, 97.903219
2018-08-16T10:38:00.000Z, 98.390332
2018-08-16T10:58:00.000Z, 96.629612
2018-08-16T11:18:00.000Z, 96.994688
2018-08-16T11:38:00.000Z, 98.209297
2018-08-16T11:58:00.000Z, 97.669134
2018-08-16T12:18:00.000Z, 96.616272
2018-08-16T12:38:00.000Z, 97.121317
2018-08-16T12:58:00.000Z, 96.996956
2018-08-16T13:18:00.000Z, 95.986342
2018-08-16T13:38:00.000Z, 95.993018
2018-08-16T13:58:00.000Z, 96.889039
2018-08-16T14:18:00.000Z, 96.634198
2018-08-16T14:38:00.000Z, 97.514512
2018-08-16T14:58:00.000Z, 98.834682
2018-08-16T15:18:00.000Z, 102.337540
2018-08-16T15:38:00.000Z, 99.801969
2018-08-16T15:58:00.000Z, 100.067137
2018-08-16T16:18:00.000Z, 101.048706
2018-08-16T16:38:00.000Z, 102.430425
2018-08-16T16:58:00.000Z, 100.110510
2018-08-16T17:18:00.000Z, 98.653467
2018-08-16T17:38:00.000Z, 98.411914
2018-08-16T17:58:00.000Z, 96.688327
2018-08-16T18:18:00.000Z, 96.477747
2018-08-16T18:38:00.000Z, 96.521297
2018-08-16T18:58:00.000Z, 96.727889
2018-08-16T19:18:00.000Z, 99.195926
2018-08-16T19:38:00.000Z, 95.587280
2018-08-16T19:58:00.000Z, 96.264820
2018-08-16T20:18:00.000Z, 96.071545
2018-08-16T20:38:00.000Z, 96.869903
2018-08-16T20:58:00.000Z, 98.041112
2018-08-16T21:18:00.000Z, 99.481475
2018-08-16T21:38:00.000Z, 98.677662
2018-08-16T21:58:00.000Z, 99.893074
2018-08-16T22:18:00.000Z, 100.817013
2018-08-16T22:38:00.000Z, 101.022526
2018-08-16T22:58:00.000Z, 100.486135
2018-08-16T23:18:00.000Z, 100.696672
2018-08-16T23:38:00.000Z, 102.530705
2018-08-16T23:58:00.000Z, 99.539058
2018-08-17T00:18:00.000Z, 98.480524
2018-08-17T00:38:00.000Z, 98.747023
2018-08-17T00:58:00.000Z, 98.839861
2018-08-17T01:18:00.000Z, 100.219040
2018-08-17T01:38:00.000Z, 101.998214
2018-08-17T01:58:00.000Z, 104.951067
2018-08-17T02:18:00.000Z, 106.626426
2018-08-17T02:38:00.000Z, 108.131095
2018-08-17T02:58:00.000Z, 102.544781
2018-08-17T03:18:00.000Z, 101.914421
2018-08-17T03:38:00.000Z, 102.698836
2018-08-17T03:58:00.000Z, 102.059236
2018-08-17T04:18:00.000Z, 101.401140
2018-08-17T04:38:00.000Z, 101.132614
2018-08-17T04:58:00.000Z, 100.736756
2018-08-17T05:18:00.000Z, 100.369208
2018-08-17T05:38:00.000Z, 100.704844
2018-08-17T05:58:00.000Z, 100.313118
2018-08-17T06:18:00.000Z, 101.005225
2018-08-17T06:38:00.000Z, 99.798541
2018-08-17T06:58:00.000Z, 99.224607
2018-08-17T07:18:00.000Z, 98.836425
2018-08-17T07:38:00.000Z, 99.432716
2018-08-17T07:58:00.000Z, 98.577681
2018-08-17T08:18:00.000Z, 99.221370
2018-08-17T08:38:00.000Z, 99.075194
2018-08-17T08:58:00.000Z, 99.465450
2018-08-17T09:18:00.000Z, 98.691441
2018-08-17T09:38:00.000Z, 99.176083
2018-08-17T09:58:00.000Z, 99.299965
2018-08-17T10:18:00.000Z, 99.343127
2018-08-17T10:38:00.000Z, 98.798493
2018-08-17T10:58:00.000Z, 98.426386
2018-08-17T11:18:00.000Z, 99.205830
2018-08-17T11:38:00.000Z, 100.047910
2018-08-17T11:58:00.000Z, 100.258841
2018-08-17T12:18:00.000Z, 99.433635
2018-08-17T12:38:00.000Z, 99.860326
2018-08-17T12:58:00.000Z, 99.377319
2018-08-17T13:18:00.000Z, 99.525348
2018-08-17T13:38:00.000Z, 99.488834
2018-08-17T13:58:00.000Z, 100.299049
2018-08-17T14:18:00.000Z, 100.572986
2018-08-17T14:38:00.000Z, 101.008282
2018-08-17T14:58:00.000Z, 100.340282
2018-08-17T15:18:00.000Z, 99.588619
2018-08-17T15:38:00.000Z, 99.733929
2018-08-17T15:58:00.000Z, 99.500886
2018-08-17T16:18:00.000Z, 99.404687
2018-08-17T16:38:00.000Z, 99.401479
2018-08-17T16:58:00.000Z, 99.747411
2018-08-17T17:18:00.000Z, 99.228055
2018-08-17T17:38:00.000Z, 99.587394
2018-08-17T17:58:00.000Z, 99.837133
2018-08-17T18:18:00.000Z, 100.497494
2018-08-17T18:38:00.000Z, 99.303612
2018-08-17T18:58:00.000Z, 98.698134
2018-08-17T19:18:00.000Z, 98.242258
2018-08-17T19:38:00.000Z, 98.551331
2018-08-17T19:58:00.000Z, 98.494990
2018-08-17T20:18:00.000Z, 98.639269
2018-08-17T20:38:00.000Z, 98.761719
2018-08-17T20:58:00.000Z, 98.758509
2018-08-17T21:18:00.000Z, 98.855267
2018-08-17T21:38:00.000Z, 98.249471
2018-08-17T21:58:00.000Z, 98.843005
2018-08-17T22:18:00.000Z, 100.444706
