yyyy-mm-ddTHH:MM:SSZ, OL_31.5, OL_63, OL_125, OL_250, OL_500, OL_1000, OL_2000, OL_4000, OL_8000, OL_16000 
2018-08-15T22:38:00.000Z, 38.300058, 40.316700, 40.408858, 40.912885, 42.787555, 44.930114, 47.063489, 49.613595, 52.464224, 54.749727
2018-08-15T22:58:00.000Z, 44.057324, 45.666462, 44.129391, 43.404556, 43.964590, 45.310539, 47.523674, 49.792549, 52.283456, 54.714735
2018-08-15T23:18:00.000Z, 99.692776, 107.199278, 104.772468, 100.134745, 89.663674, 83.796461, 81.848705, 76.853465, 68.041756, 61.756383
2018-08-15T23:38:00.000Z, 111.626004, 109.491560, 109.670903, 104.124106, 92.010912, 80.992928, 80.877069, 78.671622, 69.281261, 59.091486
2018-08-15T23:58:00.000Z, 111.189334, 109.250905, 108.695232, 103.739440, 91.597448, 81.541867, 84.137560, 78.912907, 63.768933, 58.858127
2018-08-16T00:18:00.000Z, 111.278971, 108.980133, 108.515551, 103.792279, 91.447781, 81.012098, 80.911502, 76.464104, 63.764436, 58.701548
2018-08-16T00:38:00.000Z, 110.258474, 109.088523, 108.236663, 103.632314, 91.608588, 81.051555, 83.256727, 77.695863, 65.282705, 58.768509
2018-08-16T00:58:00.000Z, 105.904155, 105.502801, 106.033900, 104.004556, 90.909160, 81.838807, 81.388092, 75.523777, 63.932669, 58.588539
2018-08-16T01:18:00.000Z, 106.498917, 106.431717, 106.295685, 103.445320, 90.796998, 79.037124, 82.220866, 77.531575, 66.870296, 59.071888
2018-08-16T01:38:00.000Z, 106.454920, 105.824281, 106.571174, 103.289207, 91.009626, 81.287181, 81.782317, 75.943591, 64.089398, 58.661336
2018-08-16T01:58:00.000Z, 109.697032, 108.539209, 108.889527, 104.097057, 92.078242, 80.370090, 82.293796, 77.701082, 66.104459, 59.038614
2018-08-16T02:18:00.000Z, 110.021981, 110.377991, 109.165650, 104.376801, 94.849104, 83.185380, 82.496907, 78.782985, 66.678353, 59.236462
2018-08-16T02:38:00.000Z, 94.571912, 105.829841, 101.255990, 95.981002, 91.030635, 89.090668, 86.206223, 82.009445, 73.582577, 108.298200
2018-08-16T02:58:00.000Z, 90.320567, 91.121270, 85.395031, 80.323493, 79.123673, 76.546789, 74.929215, 72.067795, 68.628700, 84.599014
2018-08-16T03:18:00.000Z, 89.438658, 90.538063, 85.150678, 80.250176, 77.074435, 76.458007, 75.116616, 72.845776, 68.721298, 79.093843
2018-08-16T03:38:00.000Z, 89.614172, 90.467772, 84.523647, 81.114165, 78.866061, 76.746175, 74.214281, 71.091439, 67.392479, 77.696794
2018-08-16T03:58:00.000Z, 92.171208, 91.285578, 86.308986, 81.059263, 79.244139, 79.271675, 75.884617, 70.997380, 66.172745, 64.019206
2018-08-16T04:18:00.000Z, 93.276795, 91.180941, 86.866888, 81.513953, 80.368427, 80.438737, 78.185407, 76.031494, 73.487495, 71.425756
2018-08-16T04:38:00.000Z, 91.833758, 91.407757, 86.924765, 80.683446, 79.670307, 79.723277, 76.427209, 73.127660, 69.985713, 67.720084
2018-08-16T04:58:00.000Z, 91.339854, 91.559042, 86.199006, 80.533839, 79.528593, 79.222942, 75.851859, 72.829060, 69.752343, 67.417075
2018-08-16T05:18:00.000Z, 90.759354, 90.260615, 85.769547, 80.566989, 79.697856, 79.144700, 75.225383, 71.109483, 67.149575, 64.808768
2018-08-16T05:38:00.000Z, 91.516829, 90.488626, 85.483370, 80.534920, 79.508146, 79.219875, 74.906304, 70.154095, 65.319087, 63.182678
