StartTime,EndTime,species,Latitude,Longitude,Deployment,UTC
2018-11-07T00:12:53Z,2018-11-07T00:13:00Z,ZC,29.67841,-118.21111,20,2018-11-07T00:12:53Z
2018-11-07T00:22:39Z,2018-11-07T00:24:01Z,ZC,29.68134,-118.20688,20,2018-11-07T00:22:39Z
2018-11-07T03:12:46Z,2018-11-07T03:14:37Z,ZC,29.70054,-118.18494,20,2018-11-07T03:12:46Z
2018-11-07T03:22:49Z,2018-11-07T03:22:57Z,ZC,29.70363,-118.18187,20,2018-11-07T03:22:49Z
2018-11-07T05:53:29Z,2018-11-07T05:53:29Z,ZC,29.72503,-118.16478,20,2018-11-07T05:53:29Z
2018-11-07T06:03:54Z,2018-11-07T06:03:57Z,ZC,29.72596,-118.16399,20,2018-11-07T06:03:54Z
2018-11-07T09:12:39Z,2018-11-07T09:14:35Z,ZC,29.7532,-118.1391,20,2018-11-07T09:12:39Z
2018-11-07T09:33:26Z,2018-11-07T09:33:30Z,ZC,29.7575,-118.1342,20,2018-11-07T09:33:26Z
2018-11-07T12:33:05Z,2018-11-07T12:33:52Z,BB,29.78235,-118.09961,20,2018-11-07T12:33:05Z
2018-11-07T12:22:46Z,2018-11-07T12:24:30Z,BB,29.78151,-118.10101,20,2018-11-07T12:22:46Z
2018-11-08T03:02:59Z,2018-11-08T03:03:59Z,PM,29.8917,-117.94096,20,2018-11-08T03:02:59Z
2018-11-08T03:13:31Z,2018-11-08T03:14:21Z,PM,29.89462,-117.93576,20,2018-11-08T03:13:31Z
2018-11-08T03:42:48Z,2018-11-08T03:43:23Z,PM,29.8981,-117.93001,20,2018-11-08T03:42:48Z
2018-11-08T08:42:39Z,2018-11-08T08:43:32Z,BB,29.93027,-117.8804,20,2018-11-08T08:42:39Z
2018-11-08T09:33:13Z,2018-11-08T09:34:38Z,BB,29.93498,-117.87465,20,2018-11-08T09:33:13Z
2018-11-08T09:43:25Z,2018-11-08T09:44:24Z,BB,29.93799,-117.87113,20,2018-11-08T09:43:25Z
2018-11-08T10:12:51Z,2018-11-08T10:14:36Z,BB,29.94232,-117.86624,20,2018-11-08T10:12:51Z
2018-11-08T16:33:48Z,2018-11-08T16:34:30Z,ZC,29.99118,-117.79071,20,2018-11-08T16:33:48Z
2018-11-08T16:43:20Z,2018-11-08T16:43:41Z,ZC,29.994,-117.78374,20,2018-11-08T16:43:20Z
2018-11-08T16:52:42Z,2018-11-08T16:54:37Z,ZC,29.994,-117.78374,20,2018-11-08T16:52:42Z
2018-11-08T17:04:31Z,2018-11-08T17:04:38Z,ZC,29.994,-117.78374,20,2018-11-08T17:04:31Z
2018-11-08T19:42:47Z,2018-11-08T19:43:29Z,ZC,30.00329,-117.74947,20,2018-11-08T19:42:47Z
2018-11-08T21:43:11Z,2018-11-08T21:44:37Z,ZC,30.01147,-117.72906,20,2018-11-08T21:43:11Z
2018-11-08T21:52:40Z,2018-11-08T21:54:09Z,ZC,30.01207,-117.72795,20,2018-11-08T21:52:40Z
2018-11-08T22:02:42Z,2018-11-08T22:03:33Z,ZC,30.01207,-117.72795,20,2018-11-08T22:02:42Z
2018-11-08T22:12:41Z,2018-11-08T22:14:36Z,ZC,30.01384,-117.72406,20,2018-11-08T22:12:41Z
2018-11-09T00:13:41Z,2018-11-09T00:14:11Z,ZC,30.0226,-117.7014,20,2018-11-09T00:13:41Z
2018-11-09T00:24:01Z,2018-11-09T00:24:13Z,ZC,30.02308,-117.69977,20,2018-11-09T00:24:01Z
2018-11-09T02:43:50Z,2018-11-09T02:43:52Z,BB,30.03078,-117.6681,20,2018-11-09T02:43:50Z
2018-11-09T03:23:31Z,2018-11-09T03:23:32Z,BB,30.03241,-117.659,20,2018-11-09T03:23:31Z
2018-11-09T04:33:02Z,2018-11-09T04:33:26Z,ZC,30.03567,-117.64227,20,2018-11-09T04:33:02Z
2018-11-09T09:02:45Z,2018-11-09T09:03:17Z,ZC,30.051,-117.60108,20,2018-11-09T09:02:45Z
2018-11-10T06:32:58Z,2018-11-10T06:33:00Z,ZC,30.10507,-117.3855,20,2018-11-10T06:32:58Z
2018-11-10T18:23:55Z,2018-11-10T18:24:00Z,ZC,30.11872,-117.28983,20,2018-11-10T18:23:55Z
2018-11-10T18:33:39Z,2018-11-10T18:33:43Z,ZC,30.11872,-117.28983,20,2018-11-10T18:33:39Z
2018-11-11T03:43:59Z,2018-11-11T03:44:31Z,BB,30.11141,-117.22154,20,2018-11-11T03:43:59Z
2018-11-11T03:33:07Z,2018-11-11T03:44:00Z,BB,30.11311,-117.22433,20,2018-11-11T03:33:07Z
2018-11-11T04:02:51Z,2018-11-11T04:03:17Z,BB,30.11045,-117.22041,20,2018-11-11T04:02:51Z
2018-11-11T04:12:48Z,2018-11-11T04:13:01Z,BB,30.11045,-117.22041,20,2018-11-11T04:12:48Z
2018-11-11T04:33:59Z,2018-11-11T04:34:18Z,BB,30.10854,-117.21835,20,2018-11-11T04:33:59Z
2018-11-11T09:12:53Z,2018-11-11T09:13:57Z,BW43,30.10312,-117.19736,20,2018-11-11T09:12:53Z
2018-11-11T09:23:01Z,2018-11-11T09:24:32Z,BW43,30.10318,-117.19585,20,2018-11-11T09:23:01Z
2018-11-11T09:32:39Z,2018-11-11T09:34:36Z,BW43,30.10321,-117.19444,20,2018-11-11T09:32:39Z
2018-11-13T01:42:58Z,2018-11-13T01:44:07Z,BW43,30.00078,-117.03831,20,2018-11-13T01:42:58Z
2018-11-13T01:52:45Z,2018-11-13T01:53:53Z,BW43,30.00078,-117.03831,20,2018-11-13T01:52:45Z
2018-11-13T02:22:42Z,2018-11-13T02:22:45Z,BW43,29.998,-117.03497,20,2018-11-13T02:22:42Z
2018-11-13T02:43:11Z,2018-11-13T02:44:21Z,BW43,29.99447,-117.0313,20,2018-11-13T02:43:11Z
