yyyy-mm-ddTHH:MM:SSZ, BB_20-24000 
2018-08-22T00:04:55.000Z, 61.817409
2018-08-22T00:24:55.000Z, 113.784687
2018-08-22T00:44:55.000Z, 113.803005
2018-08-22T01:04:55.000Z, 115.500716
2018-08-22T01:24:55.000Z, 115.872266
2018-08-22T01:44:55.000Z, 116.229653
2018-08-22T02:04:55.000Z, 110.632216
2018-08-22T02:24:55.000Z, 97.671681
2018-08-22T02:44:55.000Z, 99.943342
2018-08-22T03:04:55.000Z, 99.086475
2018-08-22T03:24:55.000Z, 98.698816
2018-08-22T03:44:55.000Z, 98.265268
2018-08-22T04:04:55.000Z, 98.725418
2018-08-22T04:24:55.000Z, 98.830787
2018-08-22T04:44:55.000Z, 98.236002
2018-08-22T05:04:55.000Z, 97.876052
2018-08-22T05:24:55.000Z, 97.981483
2018-08-22T05:44:55.000Z, 98.058979
2018-08-22T06:04:55.000Z, 97.685625
2018-08-22T06:24:55.000Z, 97.416360
2018-08-22T06:44:55.000Z, 96.943316
2018-08-22T07:04:55.000Z, 101.798622
2018-08-22T07:24:55.000Z, 96.870572
2018-08-22T07:44:55.000Z, 97.716395
2018-08-22T08:04:55.000Z, 97.244926
2018-08-22T08:24:55.000Z, 97.976334
2018-08-22T08:44:55.000Z, 97.402457
2018-08-22T09:04:55.000Z, 97.389653
2018-08-22T09:24:55.000Z, 97.729184
2018-08-22T09:44:55.000Z, 103.808343
2018-08-22T10:04:55.000Z, 102.353831
2018-08-22T10:24:55.000Z, 101.710697
2018-08-22T10:44:55.000Z, 99.935875
2018-08-22T11:04:55.000Z, 100.664836
2018-08-22T11:24:55.000Z, 101.713255
2018-08-22T11:44:55.000Z, 98.789843
2018-08-22T12:04:55.000Z, 99.203625
2018-08-22T12:24:55.000Z, 99.628667
2018-08-22T12:44:55.000Z, 99.890605
2018-08-22T13:04:55.000Z, 98.082029
2018-08-22T13:24:55.000Z, 97.583990
2018-08-22T13:44:55.000Z, 97.620467
2018-08-22T14:04:55.000Z, 97.960327
2018-08-22T14:24:55.000Z, 96.848949
2018-08-22T14:44:55.000Z, 96.363267
2018-08-22T15:04:55.000Z, 97.564525
2018-08-22T15:24:55.000Z, 97.111174
2018-08-22T15:44:55.000Z, 97.323513
2018-08-22T16:04:55.000Z, 97.037092
2018-08-22T16:24:55.000Z, 96.474265
2018-08-22T16:44:55.000Z, 97.366749
2018-08-22T17:04:55.000Z, 96.175720
2018-08-22T17:24:55.000Z, 97.723058
2018-08-22T17:44:55.000Z, 98.110169
2018-08-22T18:04:55.000Z, 97.227465
2018-08-22T18:24:55.000Z, 96.568155
2018-08-22T18:44:55.000Z, 96.343526
2018-08-22T19:04:55.000Z, 96.677479
2018-08-22T19:24:55.000Z, 96.251100
2018-08-22T19:44:55.000Z, 96.328373
2018-08-22T20:04:55.000Z, 96.961659
2018-08-22T20:24:55.000Z, 95.471238
2018-08-22T20:44:55.000Z, 95.889809
2018-08-22T21:04:55.000Z, 94.969760
2018-08-22T21:24:55.000Z, 95.895426
