yyyy-mm-ddTHH:MM:SSZ, OL_31.5, OL_63, OL_125, OL_250, OL_500, OL_1000, OL_2000, OL_4000, OL_8000, OL_16000 
2018-08-22T00:04:55.000Z, 39.582851, 40.456909, 41.232750, 42.864606, 45.013619, 47.694025, 50.295721, 53.032613, 55.715614, 58.145882
2018-08-22T00:24:55.000Z, 104.435597, 103.694876, 111.403873, 104.464990, 101.913258, 98.328681, 92.530635, 84.283626, 75.399481, 65.929402
2018-08-22T00:44:55.000Z, 103.534088, 102.704270, 111.537543, 104.506683, 101.654286, 97.907024, 92.871267, 84.701814, 75.890426, 66.640077
2018-08-22T01:04:55.000Z, 110.708733, 106.535109, 111.034387, 104.559654, 101.564234, 98.321497, 92.795011, 85.190514, 76.402570, 67.071059
2018-08-22T01:24:55.000Z, 111.400614, 105.984703, 111.130780, 105.017849, 101.810636, 98.794449, 92.944448, 85.355123, 76.324239, 67.310413
2018-08-22T01:44:55.000Z, 112.779711, 106.838170, 111.504022, 103.490446, 96.510453, 93.485997, 90.916453, 85.085791, 76.155491, 66.753134
2018-08-22T02:04:55.000Z, 100.002972, 101.303438, 108.838426, 95.598273, 90.307241, 85.533848, 82.484063, 75.832352, 66.773310, 61.928203
2018-08-22T02:24:55.000Z, 90.141571, 93.559610, 89.273006, 84.266250, 84.233039, 84.403856, 83.505740, 81.552001, 78.672382, 83.318776
2018-08-22T02:44:55.000Z, 92.204029, 96.748482, 92.063433, 85.110601, 85.134511, 85.647926, 84.282337, 82.325746, 79.556634, 78.903240
2018-08-22T03:04:55.000Z, 91.908660, 95.296294, 89.774981, 85.777939, 86.474787, 86.800913, 85.898038, 83.599432, 80.742815, 79.740481
2018-08-22T03:24:55.000Z, 91.425600, 94.715618, 89.474923, 86.124216, 85.490062, 86.843669, 85.913909, 83.542193, 80.626832, 79.308983
2018-08-22T03:44:55.000Z, 92.117385, 94.455183, 88.300423, 85.237828, 84.973655, 86.016880, 84.155514, 81.483466, 78.458635, 77.082670
2018-08-22T04:04:55.000Z, 92.014488, 95.289031, 88.712586, 84.567634, 84.972234, 85.492408, 83.464730, 80.778062, 77.717661, 76.308816
2018-08-22T04:24:55.000Z, 93.625980, 94.451915, 89.580777, 85.539158, 85.959691, 85.767367, 82.996629, 80.128098, 76.843700, 75.605359
2018-08-22T04:44:55.000Z, 92.913079, 94.055516, 88.046135, 83.732326, 84.394777, 85.194321, 82.471833, 80.118596, 76.854955, 78.871637
2018-08-22T05:04:55.000Z, 92.490103, 94.210678, 87.464833, 83.401621, 83.586248, 84.098510, 81.209534, 78.173663, 74.735648, 73.350986
2018-08-22T05:24:55.000Z, 91.889452, 94.312713, 88.287109, 84.110567, 83.675431, 83.589540, 80.943658, 78.037403, 74.667184, 73.180635
2018-08-22T05:44:55.000Z, 92.666115, 94.416922, 88.360509, 84.131978, 84.056304, 83.790955, 80.103614, 76.073995, 72.237713, 70.498611
2018-08-22T06:04:55.000Z, 91.941608, 94.152420, 87.015110, 83.709873, 82.871049, 82.500814, 78.789851, 74.479783, 70.560755, 68.872331
