yyyy-mm-ddTHH:MM:SSZ, TOL_25, TOL_31.5, TOL_40, TOL_50, TOL_63, TOL_80, TOL_100, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400, TOL_500, TOL_630, TOL_800, TOL_1000, TOL_1250, TOL_1600, TOL_2000, TOL_2500, TOL_3150, TOL_4000, TOL_5000, TOL_6300, TOL_8000, TOL_10000, TOL_12500, TOL_16000, TOL_20000 
2018-08-22T00:04:55.000Z, 34.356351, 34.569517, 34.751162, 34.680058, 35.780486, 35.414301, 35.795810, 36.348215, 36.579212, 37.118871, 38.022726, 38.822512, 39.192675, 40.403147, 40.963978, 42.029117, 42.773764, 43.740214, 44.523172, 45.370073, 46.320807, 47.217609, 48.083828, 49.116384, 49.895746, 50.872712, 51.886238, 52.877521, 53.812828, 53.357708
2018-08-22T00:24:55.000Z, 102.188388, 100.658125, 93.317572, 97.889688, 95.231534, 101.192197, 107.779960, 108.763215, 95.696470, 103.092982, 95.002376, 96.295385, 97.654842, 98.713740, 93.565597, 96.753261, 90.764250, 89.615391, 89.187503, 86.893191, 86.419753, 81.583121, 78.796592, 76.982605, 72.962514, 69.988766, 66.523601, 63.686943, 60.148995, 56.970865
2018-08-22T00:44:55.000Z, 100.428418, 99.262172, 92.229515, 96.947561, 94.300600, 100.352491, 107.612686, 108.982800, 95.538129, 103.151502, 94.638742, 96.190663, 97.432176, 98.301740, 93.335082, 95.898127, 90.865241, 89.906826, 89.790213, 87.060046, 86.590346, 82.036123, 78.903758, 77.518375, 73.371296, 70.634106, 67.300564, 64.635571, 60.712443, 57.317614
2018-08-22T01:04:55.000Z, 102.417156, 107.392812, 104.775067, 104.322606, 96.600402, 100.731207, 107.036336, 108.562514, 95.557156, 103.259073, 94.884546, 96.070290, 97.344860, 98.307430, 93.178284, 96.500337, 90.852762, 90.120329, 89.550900, 87.064586, 86.785942, 82.554220, 79.381367, 77.935902, 73.874460, 70.975569, 67.594017, 64.996615, 61.067059, 57.479751
2018-08-22T01:24:55.000Z, 104.233568, 107.938913, 105.496723, 103.795900, 96.571094, 100.637227, 107.108794, 108.753430, 95.344847, 103.847491, 94.975468, 96.317912, 97.752523, 98.270136, 93.584898, 97.097834, 90.989888, 90.397373, 89.583278, 87.061674, 87.154788, 82.888556, 79.451921, 77.910218, 73.759283, 71.000649, 67.654444, 65.334728, 61.326082, 57.491973
2018-08-22T01:44:55.000Z, 104.908088, 108.812841, 108.068401, 104.796386, 98.324411, 100.116418, 107.323826, 109.223082, 94.334725, 102.664418, 92.083324, 92.652456, 91.306701, 92.965971, 90.607180, 89.759581, 88.380011, 87.491510, 86.389167, 85.542012, 86.340059, 82.619242, 79.149975, 77.728675, 73.679002, 70.871625, 67.308101, 64.703233, 60.894867, 57.165648
2018-08-22T02:04:55.000Z, 91.635385, 98.081536, 93.043565, 93.998681, 95.732086, 98.257769, 99.164020, 108.144832, 90.707882, 93.681470, 88.011147, 87.073473, 85.822174, 85.332315, 82.598981, 81.924590, 80.137903, 78.590049, 77.221980, 77.055482, 77.306395, 73.428018, 70.234759, 66.864127, 63.481870, 61.452680, 59.252259, 58.063108, 57.283470, 55.731280
2018-08-22T02:24:55.000Z, 81.996157, 84.066918, 87.387390, 89.284493, 88.654182, 88.016792, 86.868441, 82.449841, 82.127522, 80.169803, 79.014124, 79.149220, 78.978760, 79.431935, 79.630095, 79.669089, 79.722738, 79.621336, 79.273358, 78.665781, 78.154534, 77.887761, 76.642895, 75.415192, 74.881739, 73.983305, 72.492691, 73.331892, 78.568874, 80.117036
2018-08-22T02:44:55.000Z, 82.674306, 85.726189, 90.051781, 92.801768, 90.160649, 91.789679, 89.655351, 85.433152, 83.873176, 81.271818, 79.489164, 79.858446, 79.768869, 80.553017, 80.788853, 80.966155, 81.074003, 80.598351, 80.070516, 79.420154, 78.940735, 78.627733, 77.482663, 76.273262, 75.602568, 74.915505, 73.559905, 74.115372, 75.041108, 72.923574
2018-08-22T03:04:55.000Z, 82.751688, 85.588096, 89.504977, 91.236031, 90.183943, 90.177370, 87.607371, 82.760736, 82.376581, 81.790485, 80.077147, 80.578616, 80.609722, 82.250320, 81.852325, 82.104813, 81.842659, 81.977232, 81.656036, 80.997376, 80.520204, 79.924447, 78.755198, 77.510461, 76.811588, 76.110294, 74.735150, 75.232227, 75.899558, 73.241542
2018-08-22T03:24:55.000Z, 82.014165, 85.387605, 89.090759, 90.264843, 89.381545, 89.180750, 86.616791, 83.110894, 83.230008, 82.079150, 80.396353, 80.908249, 79.731554, 80.633682, 81.404983, 81.851465, 82.123761, 82.163810, 82.147451, 80.839919, 80.147417, 79.713509, 78.764324, 77.583312, 76.685252, 75.907404, 74.619510, 75.168829, 75.484727, 72.189557
2018-08-22T03:44:55.000Z, 84.549391, 85.906998, 89.110224, 90.491897, 89.120924, 89.059370, 85.832239, 81.517531, 81.585668, 80.710276, 80.302614, 80.232710, 79.435882, 80.549070, 80.625248, 81.364602, 81.178013, 81.267527, 80.643262, 78.997464, 78.097748, 77.692751, 76.721318, 75.579620, 74.605858, 73.828531, 72.475394, 72.932323, 73.293068, 70.030094
2018-08-22T04:04:55.000Z, 87.015364, 86.039322, 88.399188, 91.203273, 90.861225, 89.627286, 86.314443, 82.884762, 80.990521, 79.725111, 79.248481, 80.171300, 79.821046, 80.232376, 80.347885, 80.810568, 80.783739, 80.632855, 79.965716, 78.252872, 77.408230, 76.961319, 75.952495, 74.685943, 73.807992, 73.089974, 71.666910, 72.142980, 72.561939, 69.257988
2018-08-22T04:24:55.000Z, 87.140233, 86.220884, 90.174559, 90.459761, 89.339183, 88.331077, 86.184780, 85.013892, 82.516101, 80.488777, 80.452768, 80.857027, 81.164347, 81.530011, 80.838008, 81.590337, 80.555042, 80.525712, 79.639166, 77.773408, 76.753598, 76.271420, 75.402925, 74.035947, 72.920173, 72.193751, 70.809381, 71.387688, 71.741458, 68.604899
2018-08-22T04:44:55.000Z, 87.698924, 86.881989, 88.544229, 90.308192, 88.734198, 87.846818, 85.310342, 82.671998, 79.840293, 78.882596, 78.507337, 79.094030, 79.225362, 79.725759, 79.829618, 80.664357, 80.105591, 80.096412, 79.062254, 77.250272, 76.353638, 76.087167, 75.565813, 73.986702, 72.715252, 72.204620, 71.097155, 72.374208, 73.994506, 75.009989
2018-08-22T05:04:55.000Z, 87.047329, 86.011392, 88.480656, 90.347522, 88.874505, 87.923354, 84.363004, 82.535981, 80.039701, 78.636185, 78.651451, 78.534667, 78.010116, 79.143756, 79.109619, 79.880184, 79.096914, 78.841563, 77.871663, 75.917278, 74.973607, 74.459750, 73.487948, 72.004919, 70.819903, 70.033779, 68.697263, 69.030922, 69.527349, 66.584650
2018-08-22T05:24:55.000Z, 86.536999, 86.348845, 87.501658, 89.531057, 90.031318, 88.869673, 85.906998, 82.640684, 80.376965, 79.077271, 79.065670, 79.761457, 78.939704, 78.962744, 78.678566, 79.020292, 78.928854, 78.600863, 77.634896, 75.736778, 74.712432, 74.214535, 73.362067, 71.870886, 70.785402, 69.978779, 68.642022, 69.098014, 69.373439, 66.125352
2018-08-22T05:44:55.000Z, 85.820774, 87.102405, 88.188233, 91.010413, 88.548587, 87.558427, 85.814186, 82.621677, 80.047483, 79.474253, 78.498388, 79.990836, 79.682362, 79.122516, 79.004124, 79.289769, 79.152467, 78.447120, 77.133269, 74.708661, 73.166739, 72.359468, 71.367622, 69.646791, 68.275753, 67.486750, 66.393777, 66.396297, 66.662992, 63.592248
2018-08-22T06:04:55.000Z, 86.632261, 86.718431, 87.953789, 90.069547, 89.049195, 87.364269, 83.914154, 81.601643, 79.581305, 78.870814, 78.808099, 78.975175, 78.218247, 77.879674, 78.003285, 78.281217, 77.582971, 77.316223, 76.140654, 73.197466, 71.375839, 70.579712, 69.870232, 68.440292, 66.509264, 65.825491, 64.576796, 64.663575, 64.857163, 61.820199
2018-08-22T06:24:55.000Z, 85.146729, 85.928657, 87.704334, 89.953534, 88.671595, 87.816886, 85.956729, 81.541082, 79.497385, 78.790836, 78.309518, 80.436201, 77.584092, 77.512486, 77.953085, 78.238034, 77.791970, 77.476113, 76.258960, 73.101698, 71.040432, 70.354845, 69.821091, 68.704323, 66.492884, 65.227077, 64.156570, 63.898825, 64.421331, 62.433966
